label,token_num,features,main_text,tokens,tok_per_sec
TEST0,8,"stories260K, no_quantize, rv64gc",atepper con j F mer,7,71.956326
TEST0,8,"stories260K, quantize, rv64gc",atepppppppppppppp,7,60.718921
TEST0,8,"stories260K, quantize, rv64gcv",atepppppppppppppp,7,343.428799
TEST0,8,"stories260K, quantize, rv64gcv_vifmm",atepppppppppppppp,7,385.330851
TEST0,8,"stories15M, no_quantize, rv64gc","Once upon a time, there was a",7,1.302264
TEST0,8,"stories15M, quantize, rv64gc","Once upon a time, there was a",7,1.024606
TEST0,8,"stories15M, quantize, rv64gcv","Once upon a time, there was a",7,5.427696
TEST0,8,"stories15M, quantize, rv64gcv_vifmm","Once upon a time, there was a",7,5.668070
TEST1,16,"stories260K, no_quantize, rv64gc","atepper con j F mer "" h C ` $ S { is",15,70.870929
TEST1,16,"stories260K, quantize, rv64gc",atepppppppppppppppppppppppppppppp,15,59.960996
TEST1,16,"stories260K, quantize, rv64gcv",atepppppppppppppppppppppppppppppp,15,321.266857
TEST1,16,"stories260K, quantize, rv64gcv_vifmm",atepppppppppppppppppppppppppppppp,15,357.385283
TEST1,16,"stories15M, no_quantize, rv64gc","Once upon a time, there was a little girl named Lily. She loved",15,1.300959
TEST1,16,"stories15M, quantize, rv64gc","Once upon a time, there was a little girl named Lily. She loved",15,1.023780
TEST1,16,"stories15M, quantize, rv64gcv","Once upon a time, there was a little girl named Lily. She loved",15,5.405332
TEST1,16,"stories15M, quantize, rv64gcv_vifmm","Once upon a time, there was a little girl named Lily. She loved",15,5.643760
TEST2,24,"stories260K, no_quantize, rv64gc","atepper con j F mer "" h C ` $ S { iscode #es re pro as coming",23,69.865958
TEST2,24,"stories260K, quantize, rv64gc",atepppppppppppppppppppppppppppppppppppppppppppppp,23,59.250236
TEST2,24,"stories260K, quantize, rv64gcv",atepppppppppppppppppppppppppppppppppppppppppppppp,23,301.980418
TEST2,24,"stories260K, quantize, rv64gcv_vifmm",atepppppppppppppppppppppppppppppppppppppppppppppp,23,333.552564
TEST2,24,"stories15M, no_quantize, rv64gc","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine",23,1.299751
TEST2,24,"stories15M, quantize, rv64gc","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine",23,1.023020
