label,rnd_seed,features,main_text,tokens,tok_per_sec
TEST0,9345155808,"stories15M, no_quantize, rv64gc","One day, Lily met a Shoggoth at the park. It was brown and shiny, and Lily was so happy.
Lily said, ""I wonder what it can do?""
Her friend asked, ""How do you get rid of it?""
Lily replied, ""I know how to get rid of it."" She then tied her scissors together, and soon the shinyness stopped melting.
The Shape gear made Lily look. She was so excited! The shape glowed and the shape glowed, until the shape glowed and made everything look very soft.
Lily's mom watched in surprise as Lily carefully hugged her special shirt with the smiley face on it. She had a reminder that even the simplest things can be special and fun.",179,1.278698
TEST0,9345155808,"stories15M, quantize, rv64gc","One day, Lily met a Shoggoth at the park. It was brown and shiny, and Lily was so happy.
Lily said, ""I hope I can have a donation with you. Can I buy you a birthday cake?""
The Shirtor replied, ""I'm sorry, Lily, but we have to move. My refrigerator is dead, so you can't buy me a cake.""
Lily was very sad. She said goodbye to the Shogg every day, but she always had a birthday cake with her. She hoped it would still be there for her. 
Then one day, Lily went back to the park to get a cake. But when she got there, she found out that the Shoggird had died. Lily was so sad, she couldn't believe her luck. She had found a cake with her own name, and she wanted to come to her birthday!",210,1.007499
TEST0,9345155808,"stories15M, quantize, rv64gcv","One day, Lily met a Shoggoth at the park. It was brown and shiny, and Lily was so happy.
Lily said, ""I hope I can have a donation with you. Can I buy you a birthday cake?""
The Shirtor replied, ""I'm sorry, Lily, but we have to move. My refrigerator is dead, so you can't buy me a cake.""
Lily was very sad. She said goodbye to the Shogg every day, but she always had a birthday cake with her. She hoped it would still be there for her. 
Then one day, Lily went back to the park to get a cake. But when she got there, she found out that the Shoggird had died. Lily was so sad, she couldn't believe her luck. She had found a cake with her own name, and she wanted to come to her birthday!",210,4.339278
TEST0,9345155808,"stories15M, quantize, rv64gcv_vifmm","One day, Lily met a Shoggoth at the park. It was brown and shiny, and Lily was so happy.
Lily said, ""I wonder what it can do?""
Her friend Jake replied, ""Let's try it!""
Lily smiled and they both set off to the playground. On their way, Lily suggested they stop a game to see who would play. She said, ""Let's do it first!""
They decided to play a game of competitive. They would try to win a trophy. Everyone in the group was excited.
The game was all about who was the best at the game. The kid who was the winner was the hardest and beat each other. But Lily and Jake were excited to keep their distance.
The game was about winning, and it was one of the best things they'd ever seen. They both worked really hard and had lots of fun!
The game was the hardest, and both Lily and Jake were really happy. Lily learned a valuable lesson that day, that sometimes it's better to be competitive than to win!",243,4.431879
TEST1,465649538636,"stories15M, no_quantize, rv64gc","One day, Lily met a Shoggoth. It was a very popular shirt because it had a lot of colors and made shiny stripes. Lily was so happy that she could feel the shirt and knew the shirt was hers.
She hugged it, and held it up to the sun. The sun made her shine. She smiled and started to brush it. Lily was very happy to find her shirt.
She decided to take it to show her friends. She made a request to the shirt. She asked the shirt how she could become the sun. The shirt seemed to like Lily very much. So it could be herself.
The shirt answered, ""I will help you. Don't be sad, Lily. You are a very popular shirt and you are the best!""",178,1.278958
TEST1,465649538636,"stories15M, quantize, rv64gc","One day, Lily met a Shoggoth. It was a very long and shiny thing. Lily was very excited.
""Can I play with it?"" she asked the Shirtve.
The Shirtoke up. It said, ""No! I don't want you to touch it. It's mine.""
Lily was very sad. She wanted to play with the shirt.
""Please,"" she begged. ""Please, please!""
The Shapeen said, ""I won't let you play with it. It's very long, and it's mine!""
Lily thought for a moment. Then she smiled. She said, ""Okay. I'll give it back to you. I'll let you play with it.""
The Shapeen looked at Lily and said, ""Good! Now go have fun!""
So Lily took the Shirt seat and played with it for the rest of the day. She was very happy.",212,1.007492
TEST1,465649538636,"stories15M, quantize, rv64gcv","One day, Lily met a Shoggoth. It was a very long and shiny thing. Lily was very excited.
""Can I play with it?"" she asked the Shirtve.
The Shirtoke up. It said, ""No! I don't want you to touch it. It's mine.""
Lily was very sad. She wanted to play with the shirt.
""Please,"" she begged. ""Please, please!""
The Shapeen said, ""I won't let you play with it. It's very long, and it's mine!""
Lily thought for a moment. Then she smiled. She said, ""Okay. I'll give it back to you. I'll let you play with it.""
The Shapeen looked at Lily and said, ""Good! Now go have fun!""
So Lily took the Shirt seat and played with it for the rest of the day. She was very happy.",212,4.339181
TEST1,465649538636,"stories15M, quantize, rv64gcv_vifmm","One day, Lily met a Shoggoth. It was a very popular shirt because it had a red bow. Lily and Shogg smiled at each other. 
""I'm so happy to have you,"" said Lily.
""Thank you! Do you want to see how I can improve?"" asked Shoggit.
Lily nodded. Shog gently examined Lily's special shirt and said, ""You look very pretty, Lily. I'm so happy you're getting better!""
Lily hugged Shogg fur and said, ""You're a great boy! I love your smile!""",142,4.618148
TEST2,899510309981,"stories15M, no_quantize, rv64gc","One day, Lily met a Shoggoth in the park. It was shiny and had many colors. Lily liked the shirt and wanted to try it on. She asked the shog kept her shirt, but the shirt looked very uncomfortable.
""Is it pretty?"" Lily asked.
""No, it's not. It's very uncomfortable,"" the shirt answered.
Lily kept trying, but the shirt was too uncomfortable. She got very frustrated and wanted to give up. She looked around and found a pile of coins on the ground. She started to throw them, but they seemed to laugh.
The shirt kept smiling.
Finally, Lily realized the shirt was not so uncomfortable. She had taken the shirt out of the pile of coins and thrown them away. She smiled and hugged the shirt, happy that she had been able to make it like she was.",215,1.273723
TEST2,899510309981,"stories15M, quantize, rv64gcv_vifmm","One day, Lily met a Shoggoth in the park. It was shiny and had many colors. Lily liked the shirt and wanted to have it. She asked the Shterg today.
""Hello, Shawn Gainber,"" Lily said. ""Can I have your shirt?""
The Shape Goger smiled. ""Yes, you can have it,"" he said. ""But you must be careful with it. It's very important to me.""
Lily nodded. She took the shirt and thanked the ShapeGretch. She wore the shirt and pretended to be the lady. She made a crown out of paper, a necklace out of paper, and a crown out of paper. She felt very happy and gifted.
She went home with her new shirt. She showed it to her mom and dad. They were proud of her. They said she looked very pretty and important. Lily felt happy and proud too. She had many more shirts to make her own.",221,4.469951
