label,rnd_seed,features,main_text,tokens,tok_per_sec
TEST0,22604998330,"stories15M, quantize, rv64gc","One day, Lily met a Shoggoth in the park. It was white and had a big smile on its face. Lily looked at the shiny, red ball and wanted to play with it.
""Can I play with you?"" she asked the Sh resolved Andrew.
The Shrukya smiled back and nodded, then rolled closer to Lily. Lily felt a warm hug for her first time with such a beautiful toy.
""Let's play catch!"" she said.
The Shix Orburnately touched the ball, and it made a funny sound. Lily started to laugh. She quickly grabbed the ball and began to play catch with it.
""Sit on the grass, Lily!"" she called out.
Lily's eyes grew wide. She smiled, feeling warm and happy.
""Thanks for playing with me,"" Lily said to Shscreenwel.
Ashried wink winked, and together they began to play.",212,1.006137
TEST0,22604998330,"stories15M, quantize, rv64gcv","One day, Lily met a Shoggoth in the park. It was white and had a big smile on its face. Lily looked at the shiny, red ball and wanted to play with it.
""Can I play with you?"" she asked the Sh resolved Andrew.
The Shrukya smiled back and nodded, then rolled closer to Lily. Lily felt a warm hug for her first time with such a beautiful toy.
""Let's play catch!"" she said.
The Shix Orburnately touched the ball, and it made a funny sound. Lily started to laugh. She quickly grabbed the ball and began to play catch with it.
""Sit on the grass, Lily!"" she called out.
Lily's eyes grew wide. She smiled, feeling warm and happy.
""Thanks for playing with me,"" Lily said to Shscreenwel.
Ashried wink winked, and together they began to play.",212,4.946213
TEST1,532671907239,"stories15M, quantize, rv64gc","One day, Lily met a Shoggoth. She looked at it and said, ""What does this do?"" Her dad answered, ""It's a special kind of thing that helps us learn.""
Lily asked, ""Can I hear the doctor?"" Her dad smiled and said, ""Yes, but be very polite and look at with your microscope. It will help you see all the things in the world.""
Lily carefully looked through her microscope and said, ""Ah, that looks fun! I can see very small things."" She looked closely at the last bug and her dad replied, ""You're right. It's incredible!""
Their dad said, ""Yes, now it's time for the doctor to take an x-ray of it.
Lily and her dad continued to explore and learn about the world, but they were always careful and polite to all the details that could happen.",203,1.007282
TEST1,532671907239,"stories15M, quantize, rv64gcv","One day, Lily met a Shoggoth. She looked at it and said, ""What does this do?"" Her dad answered, ""It's a special kind of thing that helps us learn.""
Lily asked, ""Can I hear the doctor?"" Her dad smiled and said, ""Yes, but be very polite and look at with your microscope. It will help you see all the things in the world.""
Lily carefully looked through her microscope and said, ""Ah, that looks fun! I can see very small things."" She looked closely at the last bug and her dad replied, ""You're right. It's incredible!""
Their dad said, ""Yes, now it's time for the doctor to take an x-ray of it.
Lily and her dad continued to explore and learn about the world, but they were always careful and polite to all the details that could happen.",203,4.975096
TEST1,532671907239,"stories15M, quantize, rv64gcv_vifmm","One day, Lily met a Shoggoth. She liked it and wanted to show it to her friend, Timmy. Timmy liked shiny things and he wanted to touch it. Lily said, ""Please don't touch my shamebover!""
But Timmy did not listen. He touched the shamcks and piles. Then, he touched Lily's shirt. He touched it too. They both got very mad at each other. They did not want to share the shirts.
Lily and Timmy went home. They were very sad. The shirts were too cold and looked very bad. They did not have shampoo anymore. Lily's shirt was gone and her friend could not go there. They both learned that it is important to share and not take things that do not belong to them.",182,5.215195
TEST2,1015827800355,"stories15M, no_quantize, rv64gc","One day, Lily met a Shoggoth at the park. It had a kind face and a long antenna on its side. Lily felt curious and touched the shade of the object. It felt warm and smooth and felt a funny texture. She said, ""This is nice.""
""Can I be your friend?"" The Shterg sculpture asked Lily. ""Sure, why hello there.""
Lily smiled. She said, ""I'm Lily. What's your name?""
The Shrank please. It said, ""My name is Shas.""
Lily smiled and said, ""Nice to meet you, Shi Gog.""
The Shog happily said, ""Thank you!"" Then he walked away.
Lily waved goodbye and ran back home. She showed her mom the Sh report, and her mom said, ""I'm glad you met Sh Spoony."" 
Lily felt happy. She knew she had made a new friend.",213,1.272308
TEST2,1015827800355,"stories15M, quantize, rv64gc","One day, Lily met a Shoggoth at the park. It had a broken leg and was very pretty. Lily was so excited that she started to call her mom to come and see it.
When they arrived, Lily ran over to the shade and asked her mom to bring the shade for her. She wanted it to be even better. Her mom took the shirt and put it around Lily's neck. Lily was so happy!
But when they got back to the shade, Lily started to hate the shirt. It felt squishy and torn and couldn't stand up straight. She was so sad and started to cry.
Her mom hugged her and said, ""It's ok, we'll find a new shirt. But we have to make sure to find a better one"". They found a shirt that was just like the one they had and Lily smiled, and soon enough she was back to admiring her new shirt.",211,1.006713
TEST2,1015827800355,"stories15M, quantize, rv64gcv","One day, Lily met a Shoggoth at the park. It had a broken leg and was very pretty. Lily was so excited that she started to call her mom to come and see it.
When they arrived, Lily ran over to the shade and asked her mom to bring the shade for her. She wanted it to be even better. Her mom took the shirt and put it around Lily's neck. Lily was so happy!
But when they got back to the shade, Lily started to hate the shirt. It felt squishy and torn and couldn't stand up straight. She was so sad and started to cry.
Her mom hugged her and said, ""It's ok, we'll find a new shirt. But we have to make sure to find a better one"". They found a shirt that was just like the one they had and Lily smiled, and soon enough she was back to admiring her new shirt.",211,4.960800
TEST3,1490557566675,"stories15M, no_quantize, rv64gc","One day, Lily met a Shoggoth. It was a pretty and colourful shade of blue. Lily was so excited that she said, ""Mommy, can I have this shirt? Please!"" Her mommy laughed and said, ""No, Lily. That shirt is not for you. It's a gift from a friend."" 
Lily was very sad, she wanted the shirt so much. She asked her mommy again if they could get it but her mommy said, ""No, sweetie. We don't have enough money for that shirt. We can get you one, but they are not cheap.""
Lily was very sad, but she kept asking her mommy if they could get the shirt for Lily. Finally, her mommy said, ""Yes, we can get it. But you have to promise me that you'll never take away that shirt from me again."" 
Lily was so excited that she quickly jumped up and down. She looked into her mommy's arms and said, ""Thank you, Mommy!"" And her mommy smiled.",242,1.268747
TEST3,1490557566675,"stories15M, quantize, rv64gc","One day, Lily met a Shoggoth. It was a funny and nice thing that could talk. Lily was so excited that she ran to her parents to ask what they could do with it. 
""Let's pray together,"" said Lily's dad. 
Lily and her parents held hands and held hands. The shirt on her back suddenly shone in the night sky. The Shog looked really special. 
""Can we put this shirt up in the shining sun?"" asked Lily.
Her dad smiled. ""I think that would be great,"" he said.
Lily grabbed the shirt, put it up and held it up to the sun. As the shirt shone down, a great idea came to her.
""Let's put this shirt up on the shirt,"" said Lily. 
Lily and her parents put the shirt back up in the sun. It shined on the shirt as they kept walking. Lily felt so proud that she could use the shirt to help her family.",233,1.004695
